Thread ID: 2148387240
Total: 1.412370

 %self     total     self     wait    child    calls  name
 71.15      1.37     1.00     0.00     0.37    20000  Integer#upto
 14.16      0.20     0.20     0.00     0.00  1544726  Fixnum#%
 11.93      0.17     0.17     0.00     0.00  1544726  Fixnum#==
  0.98      1.39     0.01     0.00     1.38    20000  Object#is_prime
  0.62      0.01     0.01     0.00     0.01        2  Array#each_index
  0.58      1.40     0.01     0.00     1.39        2  Array#select
  0.23      0.00     0.00     0.00     0.00    20000  Kernel#rand
  0.19      0.00     0.00     0.00     0.00    20000  Array#[]=
  0.17      0.00     0.00     0.00     0.00    20000  Fixnum#-
  0.01      0.00     0.00     0.00     0.00        2  Array#initialize
  0.00      0.01     0.00     0.00     0.01        2  Object#make_random_array
  0.00      1.41     0.00     0.00     1.41        2  Object#run_primes
  0.00      0.00     0.00     0.00     0.00        2  Class#new
  0.00      1.41     0.00     0.00     1.41        1  PrintersTest#setup
  0.00      0.71     0.00     0.00     0.71        1  PrintersTest#go
  0.00      1.40     0.00     0.00     1.40        2  Object#find_primes
  0.00      0.00     0.00     0.00     0.00        2  <Class::Array>#allocate


